"CV_No","Status","Date","date_start","date_end","Role","Funder_KR","Funder_EN","Program_KR","Program_EN","Title_KR","Title_EN","Title_KR_Source","Budget_KRW","Budget_USD","Budget_Display","Consortium_Total","Header_Display","Note","Projects (List)"
"25","On Progress","March 2025 - February 2030","2025-03-01T00:00:00Z","2030-02-28T00:00:00Z","PI","한국연구재단","NRF (National Research Foundation of Korea)","우수신진연구","Excellent Young Researcher Program","TrueTwin: 혼합현실에서의 다자간 분산 협업 및 설비 예지보전을 위한 AI 기반 초실감 디지털 트윈 원천기술 개발","TrueTwin: AI-based Hyper-Realistic Industrial Digital Twin for Distributed Collaborative and Predictive Facility Maintenance in Mixed Reality","Website","1207849000","1006541","1207.85M KRW / 1006.54K USD","","(PI) [한국연구재단][NRF (National Research Foundation of Korea)] 우수신진연구","2025 한국연구재단 우수신진연구 선정 (NSF CAREER 상당)","/projects/"
"24","Finished","January 2025 - June 2025","2025-01-01T00:00:00Z","2025-06-30T00:00:00Z","PI","한국기계연구원 / 두산에너빌리티","KIMM (Korea Institute of Machinery & Materials) / Doosan Enerbility","연구자문","Research Consultant","뉴럴 렌더링 기반 원자로 및 내부구조물 고해상도 모델링 개발","Development of High-Resolution Modeling for Nuclear Reactor and Internal Structures with Neural Rendering","Draft","18229000","15191","18.229M KRW / 15.191K USD","","(PI) [한국기계연구원 / 두산에너빌리티][KIMM (Korea Institute of Machinery & Materials) / Doosan Enerbility] 연구자문","","/projects/"
"23","Finished","January 2025 - March 2025","2025-01-01T00:00:00Z","2025-03-31T00:00:00Z","Collaborator","성균관대학교","Sungkyunkwan University","대학원생 지원 협력사업","Graduate Student Support Partnership","반도체 패키지의 AI 기반 신뢰성 및 열 최적화","AI-Driven Reliability and Thermal Optimization for Semiconductor Packages","Draft","24000000","20000","24M KRW / 20K USD","","(Collaborator) [성균관대학교][Sungkyunkwan University] 대학원생 지원 협력사업","","/projects/"
"22","Finished","September 2024 - December 2024","2024-09-01T00:00:00Z","2024-12-31T00:00:00Z","PI (Internal)","한국뉴욕주립대 R&BDF","SUNY Korea R&BDF","유망연구실 대학원생 연구지원사업","Promising Labs Graduate Student Research Support Program","","","","17600000","14667","17.6M KRW / 14.667K USD","","(PI (Internal)) [한국뉴욕주립대 R&BDF][SUNY Korea R&BDF] 유망연구실 대학원생 연구지원사업","CV에 개별 연구 제목 없음 (교내 사업)","/projects/"
"21","Finished","June 2024 - November 2024","2024-06-01T00:00:00Z","2024-11-30T00:00:00Z","PI (Internal)","한국뉴욕주립대 R&BDF","SUNY Korea R&BDF","국제공동연구 지원사업","International Joint Research Support Program","","","","9000000","7500","9M KRW / 7.5K USD","","(PI (Internal)) [한국뉴욕주립대 R&BDF][SUNY Korea R&BDF] 국제공동연구 지원사업","CV에 개별 연구 제목 없음 (교내 사업)","/projects/"
"20","Finished","March 2024 - October 2024","2024-03-01T00:00:00Z","2024-10-31T00:00:00Z","PI","한국선급","KR (Korean Register of Shipping)","연구자문","Research Consultant","선박 원격 검사 온라인 플랫폼","Remote Ship Inspection Online Platform","Draft","44000000","36667","44M KRW / 36.667K USD","","(PI) [한국선급][KR (Korean Register of Shipping)] 연구자문","","/projects/"
"19","Finished","November 2023 - February 2024","2023-11-01T00:00:00Z","2024-02-29T00:00:00Z","PI","MDS인텔리전스","MDS Intelligence Inc.","연구자문","Research Consultant","시설물 디지털 트윈을 위한 실내 3D 모델링","Indoor 3D Modeling for Facility Digital Twins","Draft","60500000","50417","60.5M KRW / 50.417K USD","","(PI) [MDS인텔리전스][MDS Intelligence Inc.] 연구자문","","/projects/"
"18","Finished","August 2023 - October 2023","2023-08-01T00:00:00Z","2023-10-31T00:00:00Z","PI","인천테크노파크","ITP (Incheon Technopark)","2023 글로벌 제품·서비스 현지화 연구","2023 Global Product Service Localization Research","","","","5000000","4167","5M KRW / 4.167K USD","","(PI) [인천테크노파크][ITP (Incheon Technopark)] 2023 글로벌 제품·서비스 현지화 연구","CV 원문에서 이 항목의 번호가 '28'로 중복 표기됨 (18이 맞음)","/projects/"
"17","Finished","May 2023 - December 2023","2023-05-01T00:00:00Z","2023-12-31T00:00:00Z","PI","한국선급","KR (Korean Register of Shipping)","연구자문","Research Consultant","로봇 비전 기반 선박 엔진 센싱","Robot Vision-Based Ship Engine Sensing","Draft","44000000","36667","44M KRW / 36.667K USD","","(PI) [한국선급][KR (Korean Register of Shipping)] 연구자문","","/projects/"
"16","Finished","March 2023 - December 2023","2023-03-01T00:00:00Z","2023-12-31T00:00:00Z","PI","인천과학예술영재학교","IASA (Incheon Academy of Science and Arts)","영재학교 STEAM 활동 연구 프로그램","STEAM Activity Research Program for Gifted High School Students","","","","16000000","13333","16M KRW / 13.333K USD","","(PI) [인천과학예술영재학교][IASA (Incheon Academy of Science and Arts)] 영재학교 STEAM 활동 연구 프로그램","CV에 개별 연구 제목 없음","/projects/"
"15","Finished","September 2022 - December 2022","2022-09-01T00:00:00Z","2022-12-31T00:00:00Z","PI","인천테크노파크","ITP (Incheon Technopark)","2022 글로벌 제품·서비스 현지화 연구","2022 Global Product Service Localization Research","","","","5000000","4167","5M KRW / 4.167K USD","","(PI) [인천테크노파크][ITP (Incheon Technopark)] 2022 글로벌 제품·서비스 현지화 연구","CV에 개별 연구 제목 없음","/projects/"
"14","Finished","June 2022 - February 2024","2022-06-01T00:00:00Z","2024-02-29T00:00:00Z","PI","한국연구재단","NRF (National Research Foundation of Korea)","기본연구","Basic Research Program","인프라 평가에서의 인간 능력 모사 및 향상: 공학적 소프트파워 기반 모니터링과 3대 핵심기술 개발","Emulation and Enhancement of Human Capability on Infrastructure Assessment: Engineering-Soft-Power Engaged Monitoring and 3 Major Techniques Development","Draft","101520000","84600","101.52M KRW / 84.6K USD","","(PI) [한국연구재단][NRF (National Research Foundation of Korea)] 기본연구","","/projects/"
"13","Finished","May 2022 - December 2022","2022-05-01T00:00:00Z","2022-12-31T00:00:00Z","Co-PI","인천테크노파크","ITP (Incheon Technopark)","미래 모빌리티 산학연구 컨소시엄","Industry-Academia Research Consortium for Future Mobility","스마트카 MCU 부품 및 모듈 개발","Smart-Car MCU Component and Module Development","Draft","28000000","23333","28M KRW / 23.333K USD","Total $50,000 중 46.67% 지분","(Co-PI) [인천테크노파크][ITP (Incheon Technopark)] 미래 모빌리티 산학연구 컨소시엄","","/projects/"
"12","On Progress","April 2022 - December 2026","2022-04-01T00:00:00Z","2026-12-31T00:00:00Z","Co-PI","한국우주항공청","KASA (Korea AeroSpace Administration)","거대과학연구개발사업","Space Exploration and In-Situ Resource Utilization (ISRU) Core Technology Research Center Program","미래 우주탐사 및 우주자원 활용 기술연구센터","Space Exploration and In-Situ Resource Utilization Center (SRC)","Website","475000000","395833","475M KRW / 395.833K USD","Total $9.83M 중 4.03% 지분","(Co-PI) [한국우주항공청][KASA (Korea AeroSpace Administration)] 거대과학연구개발사업","CV 기준 반영 — 역할 Co-PI, 기관 KASA(한국우주항공청). 구 웹사이트는 (PI) / '우주항공청 / 한국연구재단' 으로 표기했으나 CV 값으로 확정","/projects/"
"11","Finished","March 2022 - July 2022","2022-03-01T00:00:00Z","2022-07-31T00:00:00Z","PI","AIDL","AIDL Co.","연구자문","Research Consultant","IMU 기반 무인운반차(AGV) 제어 시스템","IMU-Based Autonomous Guided Vehicle Control System","Draft","5700000","4750","5.7M KRW / 4.75K USD","","(PI) [AIDL][AIDL Co.] 연구자문","","/projects/"
"10","Finished","October 2021 - December 2021","2021-10-01T00:00:00Z","2021-12-31T00:00:00Z","PI","인천테크노파크","ITP (Incheon Technopark)","2021 글로벌 제품·서비스 현지화 연구","2021 Global Product Service Localization Research","","","","10000000","8333","10M KRW / 8.333K USD","","(PI) [인천테크노파크][ITP (Incheon Technopark)] 2021 글로벌 제품·서비스 현지화 연구","CV에 개별 연구 제목 없음","/projects/"
"9","On Progress","June 2021 - June 2031","2021-06-01T00:00:00Z","2031-06-30T00:00:00Z","PI","한국건설기술연구원","KICT (Korea Institute of Civil Engineering and Building Technology)","장비 지원","Equipment Grant","UGV 3대 및 Velodyne LiDAR Puck 지원 (현물)","Award of 3 UGVs and Velodyne LiDAR Puck (in-kind)","Draft","53000000","44167","53M KRW / 44.167K USD","","(PI) [한국건설기술연구원][KICT (Korea Institute of Civil Engineering and Building Technology)] 장비 지원","현물(장비) 지원 — 환산 금액","/projects/"
"8","Finished","April 2021 - December 2021","2021-04-01T00:00:00Z","2021-12-31T00:00:00Z","Co-PI","한국전파진흥협회","RAPA (Korea Radio Promotion Association)","메타버스 랩 지원사업","2021 Metaverse Lab. Program","스마트팩토리를 위한 XR 기반 직관형 재고관리 시스템","XR-Based Intuitive Inventory System for Smart Factory","Draft","20700000","17250","20.7M KRW / 17.25K USD","Total $500,000 중 3.45% 지분","(Co-PI) [한국전파진흥협회][RAPA (Korea Radio Promotion Association)] 메타버스 랩 지원사업","","/projects/"
"7","Finished","March 2021 - February 2022","2021-03-01T00:00:00Z","2022-02-28T00:00:00Z","PI","한국연구재단","NRF (National Research Foundation of Korea)","신진연구(최초혁신실험실)","First Career Research Grant","컴퓨터 비전과 대용량 영상 데이터를 활용한 인프라 시각 평가 자동화","Automating Visual Assessment of Infrastructure Exploiting Computer Vision and Big Visual Data","Draft","30240000","25200","30.24M KRW / 25.2K USD","","(PI) [한국연구재단][NRF (National Research Foundation of Korea)] 신진연구(최초혁신실험실)","","/projects/"
"6","Finished","January 2019 - May 2020","2019-01-01T00:00:00Z","2020-05-31T00:00:00Z","Graduate RA","","NSF OAC (Office of Advanced Cyberinfrastructure), USA","","NSF OAC (Grant No. NSF-1835473)","재난 후 시각 분석을 위한 인간-기계 통합","Integrating Human and Machine for Post-Disaster Visual Analytics","Draft","","","","","(Graduate RA) [NSF OAC (Office of Advanced Cyberinfrastructure), USA] NSF OAC (Grant No. NSF-1835473)","박사과정 연구조교(RA) 참여 과제","/projects/"
"4","Finished","August 2018 - May 2020","2018-08-01T00:00:00Z","2020-05-31T00:00:00Z","Graduate RA","","NASA Space Technology Mission Directorate (STMD), USA","","NASA STMD","회복탄력적 외계 거주지 연구소 (RETHi)","Resilient ExtraTerrestrial Habitats Institute (RETHi / RETH)","Draft","","","","","(Graduate RA) [NASA Space Technology Mission Directorate (STMD), USA] NASA STMD","박사과정 연구조교(RA) 참여 과제","/projects/"
"3","Finished","May 2017 - August 2018","2017-05-01T00:00:00Z","2018-08-31T00:00:00Z","Graduate RA","","NSF (National Science Foundation), USA","","NSF CAREER Program (Grant No. NSF-1645047)","인프라 생애주기 관리를 위한 시민 참여","Active Citizen Engagement for Infrastructure Lifecycle Management","Draft","","","","","(Graduate RA) [NSF (National Science Foundation), USA] NSF CAREER Program (Grant No. NSF-1645047)","박사과정 연구조교(RA) 참여 과제","/projects/"
"5","Finished","April 2017 - May 2020","2017-04-01T00:00:00Z","2020-05-31T00:00:00Z","Graduate RA","","European Commission (EU Horizon 2020)","","EU Horizon 2020 Research & Innovation Programme (Grant No. 700191)","STORM: 문화유산 리스크 관리","STORM: Cultural Heritage Risk Management","Draft","","","","","(Graduate RA) [European Commission (EU Horizon 2020)] EU Horizon 2020 Research & Innovation Programme (Grant No. 700191)","박사과정 연구조교(RA) 참여 과제","/projects/"
"2","Finished","May 2015 - August 2017","2015-05-01T00:00:00Z","2017-08-31T00:00:00Z","Graduate RA","","INDOT (Indiana Department of Transportation), USA","","State Planning and Research (SPR) Program (Grant No. SPR-4006)","건설 기성 항목의 영상 기반 수집 및 계측","Image-Based Collection and Measurement for Construction Pay Items","Draft","","","","","(Graduate RA) [INDOT (Indiana Department of Transportation), USA] State Planning and Research (SPR) Program (Grant No. SPR-4006)","박사과정 연구조교(RA) 참여 과제","/projects/"
"1","Finished","August 2012 - May 2014","2012-08-01T00:00:00Z","2014-05-31T00:00:00Z","Graduate RA","","University of Mississippi, USA","","Graduate Student Support Awards","스크램제트 엔진 성능의 파라메트릭 해석","Parametric Analysis of Scramjet Engine Performance","Draft","","","","","(Graduate RA) [University of Mississippi, USA] Graduate Student Support Awards","석사과정 연구조교(RA) 참여 과제","/projects/"
