"Date","DateStart","DateEnd","Type","Summary","Content","Images","Cover"
"February 25, 2026","2026-02-25T00:00:00Z","2026-02-25T00:00:00Z","External","MOU with WeMB","On February 25th, MEIC Lab officially signed a Memorandum of Understanding (MOU) with WeMB (위엠비), a leading enterprise specialized in Digital Twin and AI-based integrated monitoring solutions. WeMB has been providing advanced digital transformation platforms and IT infrastructure solutions across various sectors, including smart cities, power plants, and data centers. Through this partnership, we aim to synergize MEIC Lab's cutting-edge Neural Rendering and Visual Intelligence research with WeMB's data-centric digital twin platforms. Together, we will focus on applying hyper-realistic, physics-aware 3D modeling to real-world industrial infrastructure for advanced anomaly diagnosis, predictive maintenance, and integrated monitoring. We look forward to bridging the gap between state-of-the-art computer vision research and practical industrial applications.","/assets/news/20260225_1.webp|/assets/news/20260225_2.webp|/assets/news/20260225_3.webp|/assets/news/20260225_4.webp|/assets/news/20260225_5.webp","/assets/news/20260225_1.webp"
"December 12, 2025","2025-12-12T00:00:00Z","2025-12-12T00:00:00Z","Internal","Cheyul Im, Sunghoon Jeong, Sungwook Choi, and Geonwoo Kim Graduation","MEIC AI Lab congratulates Cheyul Im, Sunghoon Jeong, Sungwook Choi, and Geonwoo Kim on their graduation. Each member has successfully earned a B.E. in Mechanical Engineering from SUNY Korea (Stony Brook University) in 2025. We sincerely appreciate their hard work and valuable contributions to the lab during their undergraduate studies. We wish each of them continued success and the very best in their next chapter.","/assets/news/20251212_1.webp|/assets/news/20251212_2.webp","/assets/news/20251212_1.webp"
"December 12, 2025","2025-12-12T00:00:00Z","2025-12-12T00:00:00Z","Internal","Ph.D Boyack Graduation","MEIC AI Lab congratulates Jonathan Boyack on successfully completing their Ph.D. We are incredibly proud of this achievement and are excited to officially welcome them to the team as a Postdoctoral Researcher at MEIC AI Lab. We sincerely appreciate Jonathan’s continued contributions to the lab and wish them great success in this new chapter of their professional career.","/assets/news/20251212_3.webp","/assets/news/20251212_3.webp"
"November 12-14, 2025","2025-11-12T00:00:00Z","2025-11-14T00:00:00Z","External","2025 KMF Expo","MEIC AI participated in the 2025 KMF Expo (대한민국 가상융합산업대전), showcasing the lab’s latest advances in visual intelligence, digital-twin technologies, and AI-driven remote-engineering solutions. The exhibition highlighted MEIC AI’s integrated research capabilities spanning 3D computer vision, neural rendering, mixed-reality interfaces, and intelligent inspection systems.","/assets/news/20251112_1.webp|/assets/news/20251112_2.webp","/assets/news/20251112_1.webp"
"October 31, 2025","2025-10-31T00:00:00Z","2025-10-31T00:00:00Z","Internal","Ph.D. Boyack Denfense","MEIC Lab congratulates Dr. Jonathan Boyack on the successful defense of his Ph.D. dissertation, “Engineering-Soft-Power: A New Engineering Approach through Visual Intelligence, Machine Learning, and Hyper-Realistic Digital Twin,”  in Mechanical Engineering at SUNY Korea  under Professor Jongseong Brad Choi. His work introduces the unifying concept of Engineering-Soft-Power, spanning AI-driven machine learning, computer vision, visual analytics, non-contact sensing, digital twins, VR, and the metaverse, and demonstrates it through representative case studies: (1) a sensorless EV energy-consumption prediction method validated with Tesla Model S driving logs; (2) ML + photogrammetry for data localization/extraction validated on a 5,000-ton ship engine with 6,000+ images; and (3) a remote inspection pipeline using neural rendering/3D Gaussian splatting to build hyper-realistic replicas for advanced digital-twin and VR/metaverse applications—underscoring the growing impact of visual intelligence on reliable, remote engineering practice.","/assets/news/20251031_1.webp|/assets/news/20251031_2.webp|/assets/news/20251031_3.webp","/assets/news/20251031_1.webp"
"September 23, 2025","2025-09-23T00:00:00Z","2025-09-23T00:00:00Z","External","Invited Lecture at 2025 KSNVE","On September 23, 2025, Prof. Jongseong Choi delivered an invited lecture at the ""Nuclear & Energy Sector Workshop"" hosted by the Korean Society for Noise and Vibration Engineering (KSNVE) at KAERI. Under the theme of advanced monitoring for nuclear power plants, Prof. Choi presented on ""Structure Anomaly Diagnosis Technology based on Digital Twin with Hyper-realistic Visual Intelligence."" ​(초실감 시각지능을 활용한 디지털트윈 기반 구조물 이상진단 기술) The talk highlighted MEIC Lab’s cutting-edge approach that integrates Neural Rendering with traditional structural health monitoring (SHM). By leveraging visual intelligence to create hyper-realistic digital twins, our research aims to solve critical maintenance challenges in high-risk environments like nuclear facilities. We continue to bridge the gap between computer vision and mechanical engineering to ensure the safety and reliability of critical infrastructure.","/assets/news/20250923_1.webp|/assets/news/20250923_2.webp","/assets/news/20250923_1.webp"
"August 21, 2025","2025-08-21T00:00:00Z","2025-08-21T00:00:00Z","Internal","MEIC Olympic Games","The MEIC Lab recently held a friendly sports gathering, splitting into White Team and Black Team for exciting games of basketball and dodgeball. Laughter, teamwork, and a little friendly rivalry filled the courts as everyone cheered each other on. After the games, the group headed together to a barbecue restaurant, where Professor Jongseong Brad Choi generously treated everyone to a delicious meal. With sizzling meat, lively conversation, and shared laughter, it was a joyful evening of camaraderie, great food, and lasting memories.","/assets/news/20250821_1.webp|/assets/news/20250821_2.webp|/assets/news/20250821_3.webp|/assets/news/20250821_4.webp","/assets/news/20250821_1.webp"
"August 1, 2025","2025-08-01T00:00:00Z","2025-08-01T00:00:00Z","Internal","Lab Gathering","The MEIC Lab recently gathered for a dinner with the RAPA 2025 Summer Internship students, celebrating both collaboration and progress on the ongoing RAPA project. Hosted by Professor Choi at an all-you-can-eat restaurant, the evening was filled with great food, lively conversation, and a shared sense of accomplishment. Sincere thanks to Professor Choi for making the memorable evening possible.","/assets/news/20250801_1.webp|/assets/news/20250801_2.webp","/assets/news/20250801_1.webp"
"July 29, 2025","2025-07-29T00:00:00Z","2025-07-29T00:00:00Z","External","Invited Lecture at 2025 KHNP","Professor Jongseong Brad Choi participated in the “SMR Design Technology Seminar Using Advanced Research” hosted by Korea Hydro & Nuclear Power (KHNP) Central Research Institute on July 29, 2025, at Koreana Hotel, Seoul. Professor Jongseong Brad Choi delivered an invited lecture titled “Digital Twin-Based Structural Anomaly Detection Using Visual Intelligence,” presenting the lab’s cutting-edge research on integrating AI-driven visual intelligence into digital twin frameworks for predictive safety assessment. The seminar highlighted six advanced technologies, including digital twins for anomaly detection and AI-based sensor applications, aimed at enhancing the safety and reliability of Small Modular Reactors (SMRs). MEIC Lab’s contribution underscored the growing importance of visual intelligence in next-generation nuclear system design and reinforced its role in global SMR innovation.","/assets/news/20250729_1.webp|/assets/news/20250729_2.webp","/assets/news/20250729_1.webp"
"July 27, 2025","2025-07-27T00:00:00Z","2025-07-27T00:00:00Z","External","Invited Lecture at 2025 ICRA & QR2MSE","Professor Jongseong Brad Choi delivered an invited lecture at the QR2MSE & ICRM 2025 Conference in China. His talk, titled “Visual Intelligence for Predictive Engineering System Assessment,” highlighted innovative approaches that integrate advanced visual intelligence with engineering system evaluation, drawing significant attention from international researchers and industry experts.","/assets/news/20250727_1.webp","/assets/news/20250727_1.webp"
"July 25, 2025","2025-07-25T00:00:00Z","2025-07-25T00:00:00Z","External","Outstanding Presentation Award at PRESM 2025","Professor Jongseong Brad Choi received the Outstanding Presentation Award at the International Conference on Precision Engineering and Sustainable Manufacturing (PRESM 2025), held in Chiang Mai, Thailand, from July 6–11, 2025. His presentation, titled “Physics-Informed Neural Network (PINN) and Hyper-Realistic Digital Twin (3DGS) for Predictive Engineering System Assessment,” was recognized for its excellence and impact, highlighting cutting-edge approaches that integrate physics-based learning with advanced digital twin technologies for engineering applications.","/assets/news/20250725_1.webp|/assets/news/20250725_2.webp","/assets/news/20250725_1.webp"
"June 26-27, 2025","2025-06-26T00:00:00Z","2025-06-27T00:00:00Z","External","Keynote Lecture at the KSFC Drive & Control 2025","Professor Jongseong Brad Choi delivered a keynote lecture at the KSFC Drive & Control 2025 Spring Conference, held at KIST Gangneung Institute on June 26–27, 2025. His talk introduced advances in 3D neural rendering and physics-knowledge-based intelligence for sustainable industrial energy applications, drawing strong interest from both academia and industry.","/assets/news/20250626_1.webp","/assets/news/20250626_1.webp"
"June 23-25, 2025","2025-06-23T00:00:00Z","2025-06-25T00:00:00Z","External","2025 PHM Conference","Attending the 2025 PHM Conference was a valuable experience for students to explore the evolving landscape of prognostics and health management technology. As poster presenters, they actively shared their research and insights. The conference served as a meaningful venue for interaction with experts across academia and industry, allowing participants to broaden their perspective and strengthen their academic foundation.","/assets/news/20250623_1.webp|/assets/news/20250623_2.webp","/assets/news/20250623_1.webp"
"June 23-25, 2025","2025-06-23T00:00:00Z","2025-06-25T00:00:00Z","Internal","2025 PHM Korea Conference","After the 2025 PHM Conference, our graduate lab members enjoyed a fun and relaxing evening with our professor. It was a great opportunity to unwind after the conference, sharing laughs and conversations over good food with an ocean view.","/assets/news/20250623_3.webp","/assets/news/20250623_3.webp"
"June 13, 2025","2025-06-13T00:00:00Z","2025-06-13T00:00:00Z","Internal","Hanbeom Chang and Jeewon Lee Graduation","MEIC AI Lab is proud to congratulate Hanbeom Chang and Jeewon Lee on obtaining their Master’s degree. We are excited to announce their next chapters: Hanbeom Chang has started a new professional journey at SK Inc. AX, and Jeewon Lee will be continuing her academic excellence as a Ph.D. student right here at MEIC AI Lab. We sincerely appreciate their dedicated research and significant contributions to the lab thus far, and we wish them both continued success in their respective roles.","/assets/news/20250613_1.webp|/assets/news/20250613_2.webp|/assets/news/20250613_3.webp","/assets/news/20250613_1.webp"
"May 19, 2025","2025-05-19T00:00:00Z","2025-05-19T00:00:00Z","Internal","Hugo and Felipe Farewell Party","Lab members held a farewell dinner for Hugo and Felipe ahead of their departure to Ecuador. The gathering marked the end of their research stay, providing an opportunity for the team to come together and reflect on their collaborative work over the past months.","/assets/news/20250519_1.webp","/assets/news/20250519_1.webp"
"April 25, 2025","2025-04-25T00:00:00Z","2025-04-25T00:00:00Z","Internal","Hugo and Felipe Birthday Party","Lab members gathered at a local Indian restaurant to celebrate the birthdays of Hugo and Felipe. The group enjoyed a variety of dishes in a casual setting, making time for conversation and shared moments outside the lab. The event provided a brief but welcome break from research activities.","/assets/news/20250425_1.webp","/assets/news/20250425_1.webp"
"April 10, 2025","2025-04-10T00:00:00Z","2025-04-10T00:00:00Z","External","Young Scientist Award at 2025 KSME Reliability Division","Prof. Brad Choi is recipient of 2025 Young Scientist Award of KSME Reliability Division for his talk entitled “EV-PINN: Electric Vehicle Battery Surrogate Model using Transformer-Based Physics Informed Neural Network “ at the Korean Society of Mechanical Engineers (KSME) for Reliability 2025 Conference held in April 9-11, 2025 in Gyeongju, South Korea. Congratulations, Prof. Brad Choi!","/assets/news/20250410_1.webp|/assets/news/20250410_2.webp","/assets/news/20250410_1.webp"
"April 7-10, 2025","2025-04-07T00:00:00Z","2025-04-10T00:00:00Z","External","2025 KSME Reliability Division","At the 2025 KSME Reliability Division Conference held in Gyeongju. Researchers, graduate students, and undergraduate participants attended the event to engage in academic exchange and discussion. Undergraduate students also took part in the poster session, presenting their research alongside graduate-level work and contributing to the collaborative atmosphere of the conference.","/assets/news/20250407_1.webp","/assets/news/20250407_1.webp"
"April 4, 2025","2025-04-04T00:00:00Z","2025-04-04T00:00:00Z","Internal","MEIC Olympic Games","At the end of the week, members of the MEIC Lab came together for a spirited game of dodgeball, aiming to boost both excitement and team cohesion. The friendly competition fostered camaraderie and energized the group. To cap off the day, the team gathered at Ashley, a Korean all-you-can-eat restaurant, where they shared a hearty meal and plenty of laughter, further strengthening their bonds outside the lab.","/assets/news/20250404_1.webp","/assets/news/20250404_1.webp"
"March 7, 2025","2025-03-07T00:00:00Z","2025-03-07T00:00:00Z","External","Outstanding Early-Career Researcher Program by 2025 Ministry of Science and ICT","Professor Jongseong Brad Choi has been selected for the 2025 Outstanding Early-Career Researcher Program by the Ministry of Science and ICT, securing 12.5 billion KRW, the largest grant in the program’s history.His research, ""True Twin,"" focuses on AI-based hyper-realistic digital twin technology for real-time remote collaboration. Over the next five years, he aims to develop a system that enables engineers to work remotely as if they were in the same space. This technology could become a new standard for remote work and play a key role in global manufacturing and facility management in response to labor shortages.","/assets/news/20250307_1.webp","/assets/news/20250307_1.webp"
"January 24-25, 2025","2025-01-24T00:00:00Z","2025-01-25T00:00:00Z","External","2025 IEEE/SICE","Hansol Lim, JeeWon Lee, and Hanbeom Chang attended the 2025 IEEE/SICE International Symposium on System Integration (SII), held in Munich, Germany from January 21 to 24, 2025. The symposium brought together global experts to share the latest research and applications in system integration, with a focus on combining hardware and software to address industrial and social challenges. This participation provided a valuable opportunity for academic exchange and networking with international researchers.","/assets/news/20250124_1.webp","/assets/news/20250124_1.webp"
"January 14, 2025","2025-01-14T00:00:00Z","2025-01-14T00:00:00Z","External","Workshop by Energy Machinery Industrial Application Technology Workshop for Carbon Neutrality,","The MEIC Lab participated in the “Energy Machinery Industrial Application Technology Workshop for Carbon Neutrality,” held at SUNY Korea, Songdo Campus, from January 15 to 16, 2025. This workshop, hosted by the Korea Refrigeration and Air-Conditioning Certification Center and SUNY Korea, focused on key technologies for sustainable energy use, including AI applications, virtual testing, and new energy systems like SMRs. Industry experts from various sectors gathered to share insights and discuss future directions for industrial processes such as paper manufacturing, dyeing, low-temperature processes, and secondary batteries.","/assets/news/20250114_1.webp|/assets/news/20250114_2.webp|/assets/news/20250114_3.webp|/assets/news/20250114_4.webp|/assets/news/20250114_5.webp","/assets/news/20250114_1.webp"
"December 10, 2024","2024-12-10T00:00:00Z","2024-12-10T00:00:00Z","External","Seminar/Invited Talk Hyundai Motor Group","The MEIC Lab hosted a special seminar featuring Dr. Dae-Un Sung, Research Fellow at Hyundai Motor Group, on December 10, 2024, at SUNY Korea. Dr. Sung shared his expertise on ""Future Mobility PHM Technology Development,"" covering topics such as vehicle prognostics and health management (PHM), durability and degradation improvements, and performance balancing technologies for high-performance vehicles.","/assets/news/20241210_1.webp","/assets/news/20241210_1.webp"
"November 21, 2024","2024-11-21T00:00:00Z","2024-11-21T00:00:00Z","External","Grand Prize Award of 2024 KSME&KIMM","Hansol Lim, Ph. D Student, was awarded the Grand Prize for their presentation titled ""Physics-Based Neural Network for Electric Vehicle Energy Prediction"" at the 2024 Joint Conference of the Chungcheong Branch of the Korean Society of Mechanical Engineers (KSME) & KIMM DX Strategy Research Division, held at the Mechanical Engineering AI/DX Idea Competition. Congratulations Hansol!","/assets/news/20241121_1.webp|/assets/news/20241121_2.webp","/assets/news/20241121_1.webp"
"July 10, 2024","2024-07-10T00:00:00Z","2024-07-10T00:00:00Z","Internal","MEIC Olympic Games","MEICers gathered for a volleyball game after our weekly meeting, seeking excitement and better teamwork. Team Professor emerged victorious in the match. To celebrate, we enjoyed a night out at the K-BBQ place, bonding over delicious food and shared laughter.","/assets/news/20240710_1.webp","/assets/news/20240710_1.webp"
"June 24, 2024","2024-06-24T00:00:00Z","2024-06-24T00:00:00Z","External","2024 PHM Conference","Attending the 2024 PHM Conference was an exciting opportunity for students to observe the latest trends in prognostic health management technology. They eagerly participated, showcasing their research as poster presenters. The conference provided a platform for these emerging scholars to engage with industry leaders and deepen their understanding of the field.","/assets/news/20240624_1.webp","/assets/news/20240624_1.webp"
"May 10, 2024","2024-05-10T00:00:00Z","2024-05-10T00:00:00Z","External","2024 IGC Research Showcase","On May 10th, the Incheon Global Campus buzzed with energy as students and faculty gathered for the IGC Research Showcase, featuring 104 innovative research posters! First place went to Mechanical Engineering students Eun Jae Lee, DaeRyeon Choi, Jungmin Lee, Mijin Lee, and Hyobin Shin for their Al Smart Farm project.","/assets/news/20240510_1.webp","/assets/news/20240510_1.webp"
"September 27, 2023","2023-09-27T00:00:00Z","2023-09-27T00:00:00Z","Internal","Semester-Start Party","MEICers had a gathering to celebrate the beginning of the semester and move to a new lab space. Well done for the lab move and good luck for the semester!","/assets/news/20230927_1.webp","/assets/news/20230927_1.webp"
"August 14-15, 2023","2023-08-14T00:00:00Z","2025-08-15T00:00:00Z","External","Business Trip","A return to Gunsan, South Korea for the KR project was completed on August 14-15, 2023 for more image acquisition and analysis using Structure-from-Motion technique. We also enjoyed a decent Spanish restaurant for dinner, which became our “designated spot” for every KR Gunsan trip!","/assets/news/20230814_1.webp","/assets/news/20230814_1.webp"
"July 20, 2023","2023-07-20T00:00:00Z","2023-07-20T00:00:00Z","Internal","Lab Relocation","The MEIC Lab moved locations to a larger facility with more room to be able to expand on the work they were already doing previously. In this new space, they have a larger area for students to work on writing and coding, an instrumentation space for physical experimentation, an office space for the professor, a conference area for meetings, and a rest area for students to be able to take breaks","/assets/news/20230720_1.webp|/assets/news/20230720_2.webp|/assets/news/20230720_3.webp","/assets/news/20230720_1.webp"
"July 3-5, 2023","2023-07-03T00:00:00Z","2023-07-05T00:00:00Z","External","2023 PHM Conference & 2023 Young Scientist Award","At the Korean Society for Prognostics and Health Management (PHM) 2023 Conference in Seoul, South Korea, from July 3rd-5th, 2023, Prof. Choi delivered a presentation entitled “Engineering-Soft-Power engaged visualization analytics and human-machine collaboration remote assessment for large-scale structures (구조물 건전성 모니터링을 위한 시각화 분석 및 인간-기계 협업 원격 모니터링 기법 개발)” and won the 2023 Young Scientist Award. Alfredo Valenzuela was in poster session entitled “Localized Google Map Update on Mobile Application to Enable a User-Guided Path Planning for Monitoring Robots” with co-authors Ricardo Ortiz, and Jongseong Brad Choi. Hansol Lim was also in a poster session entitled “Real-time, Non-intrusive Inspection of Structures Using Visual Analytics and Transparency Technology” with co-author Jongseong Brad Choi.","/assets/news/20230703_1.webp|/assets/news/20230703_2.webp","/assets/news/20230703_1.webp"
"June 28-30, 2023","2023-06-28T00:00:00Z","2023-06-30T00:00:00Z","External","2023 ASMaS Conference","During the Advanced Smart Materials and Structures (ASMaS) 2023 Conference in Ho Chi Minh City, Vietnam, from June 28th-30th, 2023, Jonathan Boyack presented his work entitled “An Automated Falling Hazard Assessment of High-Rise Buildings Using Transfer Learning and Orthophoto Generation” with co- author Jongseong Brad Choi. Ricardo Ortiz also presented his work entitled “Development of RTK-GPS Engaged Autonomous Mobility: Implementation and Analysis for Structural Health Monitoring Application” with co-authors Alfredo Valenzuela, and Jongseong Brad Choi.","/assets/news/20230628_1.webp|/assets/news/20230628_2.webp|/assets/news/20230628_3.webp","/assets/news/20230628_1.webp"
"June 18, 2023","2023-06-18T00:00:00Z","2023-06-18T00:00:00Z","External","Field Trip","In implementing a project granted by IASA (인천과학예술영재학교), the selected high school students visited Guryong village (구룡마을) to produce a detailed pedestrian map for residents. Using MEIC lab’s cloud mapping technology with a specially built Lidar sensing system, they successfully built a model on behalf of our graduate students Mr. Hansol Lim and Ricardo Ortiz.","/assets/news/20230618_1.webp","/assets/news/20230618_1.webp"
"June 14-15, 2023","2023-06-14T00:00:00Z","2023-06-15T00:00:00Z","External","Business Trip with KR Research Group","The MEIC Lab was invited to Gunsan, South Korea to work in collaboration with the KR research group on integrating some of their systems with Engineering Soft Power technologies. The MEIC Lab used this opportunity to begin work on the project by collecting the neccessary data and begining the neccessary processing.","/assets/news/20230614_1.webp|/assets/news/20230614_2.webp|/assets/news/20230614_3.webp","/assets/news/20230614_1.webp"
"May 24, 2023","2023-05-24T00:00:00Z","2023-05-24T00:00:00Z","External","2023 IGC Research Showcase","Professor Choi was invited to participate in a panel discussion entitled Roundtable on AI and Society at the 2023 IGC Research Showcase held in Incheon Global Campus, Incheon, South Korea, on May 22, 2023. All current student members of the MEIC lab were able to showcase their research through short poster presentations at the same Research Showcase. Everyone's research was well received. We hope to have many more opportunities to display the research we do in our lab.","/assets/news/20230524_1.webp","/assets/news/20230524_1.webp"
"May 9, 2023","2023-05-09T00:00:00Z","2023-05-09T00:00:00Z","External","Invited Talk at Argonne National Lab","Prof. Choi was invited to deliver a talk entitled ""LogPath: Log Data-Based Energy Consumption Model Analysis to Enable Path Optimization of An Electric Vehicle"" at Vehicle & Mobility Systems Department (VMS) and Systems Assessment Center (SAC) at Argonne National Lab, Lemont, IL, USA, on May 9, 2023.","/assets/news/20230509_1.webp|/assets/news/20230509_2.webp","/assets/news/20230509_1.webp"
"May 3-5, 2023","2023-05-03T00:00:00Z","2023-05-05T00:00:00Z","External","2023 Structural Congress","Prof. Choi delivered a talk entitled “Automating Visual Analytics to Aid Lifecycle Management of Infrastructure - Similarity Learning to Enable Building Searches in Post-event Image Data” at Structural Congress 2023 held in New Orleans, LA, USA, May 3-5, 2023","/assets/news/20230503_1.webp","/assets/news/20230503_1.webp"
"March 22-24, 2023","2023-03-22T00:00:00Z","2023-03-24T00:00:00Z","External","2023 KSME Conference","During the Korean Society of Mechanical Engineers (KSME) 2023 Spring Conference on Reliability, Jeju, South Korea, Pureun Jeong was in poster session entitled “SLAM for Skid-Steering Mobile Robot Systems” with co-authored Hansol Lim, Jimin Shin, and Jongseong Brad Choi. Hanbeom Chang was in poster session entitled “Automated Pan-Tilt-Zoom Camera Control Enabling Long-Range Visual Exploration for Extraterrestrial Missions” with co-authored Jeewon Lee, and Jongseong Brad Choi","/assets/news/20230322_1.webp|/assets/news/20230322_2.webp|/assets/news/20230322_3.webp","/assets/news/20230322_1.webp"
"March 13, 2023","2023-03-13T00:00:00Z","2023-03-13T00:00:00Z","Internal","Semester-Start & Hansol, Hanbeom, and Jeewon Welcome Party","MEICers had a dinner party to celebrate the beginning of the semester and Hansol's, Hanbeom's and Jaewon's joining MEIC Lab as master's students. We enjoyed Jokbal at a well known restaurant in Songdo. Welcome to MEIC lab, Hanbeom and Jaewon!","/assets/news/20230313_1.webp","/assets/news/20230313_1.webp"
"December 8, 2022","2022-12-08T00:00:00Z","2022-12-08T00:00:00Z","Internal","Semester-End & Pureun Welcome Party","MEICers had a dinner party to celebrate semester-end and Pureun's joining MEIC Lab as a master's course. We all enjoyed Wagyu beef in Songdo. Welcome to MEIC lab, Pureun!","/assets/news/20221208_1.webp","/assets/news/20221208_1.webp"
"November 30, 2022","2022-11-30T00:00:00Z","2022-11-30T00:00:00Z","External","Top Prize Award at 2022 Global Product-Service Localization Research Award","MEIC Lab members (Jonathan Boyack, Ricardo Ortiz, Jee Won Lee, and Jongseong Brad Choi) was awarded ""Top Prize (최우수상)"" in the ""2022 Global Product-Service Localization Research Award (2022년 글로벌 제품서비스 현지화 연구회)"". This project provided us to create a connection to local companies, and won the competition with our idea suggestion. Congratulations!","/assets/news/20221130_1.webp|/assets/news/20221130_2.webp","/assets/news/20221130_1.webp"
